value,label
"cf
","cf
 CF Industries Holdings Inc materials fertilizers & agricultural chemicals SP500"
"schw
","schw
 Charles Schwab Corporation financials investment banking & brokerage SP500"
"chtr
","chtr
 Charter Communications communication services cable & satellite SP500"
"cvx
","cvx
 Chevron Corp. energy integrated oil & gas SP500"
"cmg
","cmg
 Chipotle Mexican Grill consumer discretionary restaurants SP500"
"cb
","cb
 Chubb Limited financials property & casualty insurance SP500"
"chd
","chd
 Church & Dwight consumer staples household products SP500"
"ci
","ci
 CIGNA Corp. health care managed health care SP500"
"cinf
","cinf
 Cincinnati Financial financials property & casualty insurance SP500"
"ctas
","ctas
 Cintas Corporation industrials diversified support services SP500"
"csco
","csco
 Cisco Systems information technology communications equipment SP500"
"c
","c
 Citigroup Inc. financials diversified banks SP500"
"cfg
","cfg
 Citizens Financial Group financials regional banks SP500"
"ctxs
","ctxs
 Citrix Systems information technology application software SP500"
"clx
","clx
 The Clorox Company consumer staples household products SP500"
"cme
","cme
 CME Group Inc. financials financial exchanges & data SP500"
"cms
","cms
 CMS Energy utilities multi-utilities SP500"
"ko
","ko
 Coca-Cola Company consumer staples soft drinks SP500"
"ctsh
","ctsh
 Cognizant Technology Solutions information technology it consulting & other services SP500"
"cl
","cl
 Colgate-Palmolive consumer staples household products SP500"
"cmcsa
","cmcsa
 Comcast Corp. communication services cable & satellite SP500"
"cma
","cma
 Comerica Inc. financials diversified banks SP500"
"cag
","cag
 Conagra Brands consumer staples packaged foods & meats SP500"
"cxo
","cxo
 Concho Resources energy oil & gas exploration & production SP500"
"cop
","cop
 ConocoPhillips energy oil & gas exploration & production SP500"
"ed
","ed
 Consolidated Edison utilities electric utilities SP500"
"stz
","stz
 Constellation Brands consumer staples distillers & vintners SP500"
"coo
","coo
 The Cooper Companies health care health care supplies SP500"
"cprt
","cprt
 Copart Inc industrials diversified support services SP500"
"glw
","glw
 Corning Inc. information technology electronic components SP500"
"ctva
","ctva
 Corteva materials fertilizers & agricultural chemicals SP500"
"cost
","cost
 Costco Wholesale Corp. consumer staples hypermarkets & super centers SP500"
"coty
","coty
 Coty, Inc consumer staples personal products SP500"
"cci
","cci
 Crown Castle International Corp. real estate specialized reits SP500"
"csx
","csx
 CSX Corp. industrials railroads SP500"
"cmi
","cmi
 Cummins Inc. industrials industrial machinery SP500"
"cvs
","cvs
 CVS Health health care health care services SP500"
"dhi
","dhi
 D. R. Horton consumer discretionary homebuilding SP500"
"dhr
","dhr
 Danaher Corp. health care health care equipment SP500"
"dri
","dri
 Darden Restaurants consumer discretionary restaurants SP500"
"dva
","dva
 DaVita Inc. health care health care facilities SP500"
"de
","de
 Deere & Co. industrials agricultural & farm machinery SP500"
"dal
","dal
 Delta Air Lines Inc. industrials airlines SP500"
"xray
","xray
 Dentsply Sirona health care health care supplies SP500"
"dvn
","dvn
 Devon Energy energy oil & gas exploration & production SP500"
"dxcm
","dxcm
 DexCom health care health care equipment SP500"
"fang
","fang
 Diamondback Energy energy oil & gas exploration & production SP500"
"dlr
","dlr
 Digital Realty Trust Inc real estate specialized reits SP500"
"dfs
","dfs
 Discover Financial Services financials consumer finance SP500"
"disca
","disca
 Discovery, Inc. (Class A) communication services broadcasting SP500"
"disck
","disck
 Discovery, Inc. (Class C) communication services broadcasting SP500"
"dish
","dish
 Dish Network communication services cable & satellite SP500"
"dg
","dg
 Dollar General consumer discretionary general merchandise stores SP500"
"dltr
","dltr
 Dollar Tree consumer discretionary general merchandise stores SP500"
"d
","d
 Dominion Energy utilities electric utilities SP500"
"dpz
","dpz
 Domino's Pizza consumer discretionary restaurants SP500"
"dov
","dov
 Dover Corporation industrials industrial machinery SP500"
"dow
","dow
 Dow Inc. materials commodity chemicals SP500"
"dte
","dte
 DTE Energy Co. utilities multi-utilities SP500"
"duk
","duk
 Duke Energy utilities electric utilities SP500"
"dre
","dre
 Duke Realty Corp real estate industrial reits SP500"
"dd
","dd
 DuPont de Nemours Inc materials specialty chemicals SP500"
"dxc
","dxc
 DXC Technology information technology it consulting & other services SP500"
"etfc
","etfc
 E*Trade financials investment banking & brokerage SP500"
"emn
","emn
 Eastman Chemical materials diversified chemicals SP500"
"etn
","etn
 Eaton Corporation industrials electrical components & equipment SP500"
"ebay
","ebay
 eBay Inc. consumer discretionary internet & direct marketing retail SP500"
"ecl
","ecl
 Ecolab Inc. materials specialty chemicals SP500"
