value,label
"sbux
","sbux
 Starbucks Corp. consumer discretionary restaurants SP500"
"stt
","stt
 State Street Corp. financials asset management & custody banks SP500"
"ste
","ste
 STERIS plc health care health care equipment SP500"
"syk
","syk
 Stryker Corp. health care health care equipment SP500"
"sivb
","sivb
 SVB Financial financials regional banks SP500"
"syf
","syf
 Synchrony Financial financials consumer finance SP500"
"snps
","snps
 Synopsys Inc. information technology application software SP500"
"syy
","syy
 Sysco Corp. consumer staples food distributors SP500"
"tmus
","tmus
 T-Mobile US communication services wireless telecommunication services SP500"
"trow
","trow
 T. Rowe Price Group financials asset management & custody banks SP500"
"ttwo
","ttwo
 Take-Two Interactive communication services interactive home entertainment SP500"
"tpr
","tpr
 Tapestry, Inc. consumer discretionary apparel, accessories & luxury goods SP500"
"tgt
","tgt
 Target Corp. consumer discretionary general merchandise stores SP500"
"tel
","tel
 TE Connectivity Ltd. information technology electronic manufacturing services SP500"
"fti
","fti
 TechnipFMC energy oil & gas equipment & services SP500"
"tfx
","tfx
 Teleflex health care health care equipment SP500"
"txn
","txn
 Texas Instruments information technology semiconductors SP500"
"txt
","txt
 Textron Inc. industrials aerospace & defense SP500"
"tmo
","tmo
 Thermo Fisher Scientific health care life sciences tools & services SP500"
"tif
","tif
 Tiffany & Co. consumer discretionary apparel, accessories & luxury goods SP500"
"tjx
","tjx
 TJX Companies Inc. consumer discretionary apparel retail SP500"
"tsco
","tsco
 Tractor Supply Company consumer discretionary specialty stores SP500"
"tt
","tt
 Trane Technologies plc industrials building products SP500"
"tdg
","tdg
 TransDigm Group industrials aerospace & defense SP500"
"trv
","trv
 The Travelers Companies Inc. financials property & casualty insurance SP500"
"tfc
","tfc
 Truist Financial financials regional banks SP500"
"twtr
","twtr
 Twitter, Inc. communication services interactive media & services SP500"
"tsn
","tsn
 Tyson Foods consumer staples packaged foods & meats SP500"
"udr
","udr
 UDR, Inc. real estate residential reits SP500"
"ulta
","ulta
 Ulta Beauty consumer discretionary specialty stores SP500"
"usb
","usb
 U.S. Bancorp financials diversified banks SP500"
"uaa
","uaa
 Under Armour (Class A) consumer discretionary apparel, accessories & luxury goods SP500"
"ua
","ua
 Under Armour (Class C) consumer discretionary apparel, accessories & luxury goods SP500"
"unp
","unp
 Union Pacific Corp industrials railroads SP500"
"ual
","ual
 United Airlines Holdings industrials airlines SP500"
"unh
","unh
 United Health Group Inc. health care managed health care SP500"
"ups
","ups
 United Parcel Service industrials air freight & logistics SP500"
"uri
","uri
 United Rentals, Inc. industrials trading companies & distributors SP500"
"uhs
","uhs
 Universal Health Services, Inc. health care health care facilities SP500"
"unm
","unm
 Unum Group financials life & health insurance SP500"
"vfc
","vfc
 V.F. Corp. consumer discretionary apparel, accessories & luxury goods SP500"
"vlo
","vlo
 Valero Energy energy oil & gas refining & marketing SP500"
"var
","var
 Varian Medical Systems health care health care equipment SP500"
"vtr
","vtr
 Ventas Inc real estate health care reits SP500"
"vrsn
","vrsn
 Verisign Inc. information technology internet services & infrastructure SP500"
"vrsk
","vrsk
 Verisk Analytics industrials research & consulting services SP500"
"vz
","vz
 Verizon Communications communication services
 integrated telecommunication services SP500"
"vrtx
","vrtx
 Vertex Pharmaceuticals Inc health care biotechnology SP500"
"viac
","viac
 ViacomCBS communication services movies & entertainment SP500"
"v
","v
 Visa Inc. information technology data processing & outsourced services SP500"
"vno
","vno
 Vornado Realty Trust real estate office reits SP500"
"vmc
","vmc
 Vulcan Materials materials construction materials SP500"
"wrb
","wrb
 W. R. Berkley Corporation financials property & casualty insurance SP500"
"wab
","wab
 Wabtec Corporation industrials construction machinery & heavy trucks SP500"
"wmt
","wmt
 Walmart consumer staples hypermarkets & super centers SP500"
"wba
","wba
 Walgreens Boots Alliance consumer staples drug retail SP500"
"dis
","dis
 The Walt Disney Company communication services movies & entertainment SP500"
"wm
","wm
 Waste Management Inc. industrials environmental & facilities services SP500"
"wat
","wat
 Waters Corporation health care health care distributors SP500"
"wec
","wec
 WEC Energy Group utilities electric utilities SP500"
"wfc
","wfc
 Wells Fargo financials diversified banks SP500"
"well
","well
 Welltower Inc. real estate health care reits SP500"
"wst
","wst
 West Pharmaceutical Services health care health care supplies SP500"
"wdc
","wdc
 Western Digital information technology technology hardware, storage & peripherals SP500"
"wu
","wu
 Western Union Co information technology data processing & outsourced services SP500"
"wrk
","wrk
 WestRock materials paper packaging SP500"
"wy
","wy
 Weyerhaeuser real estate specialized reits SP500"
"whr
","whr
 Whirlpool Corp. consumer discretionary household appliances SP500"
"wmb
","wmb
 Williams Cos. energy oil & gas storage & transportation SP500"
"wltw
","wltw
 Willis Towers Watson financials insurance brokers SP500"
"wynn
","wynn
 Wynn Resorts Ltd consumer discretionary casinos & gaming SP500"
"xel
","xel
 Xcel Energy Inc utilities multi-utilities SP500"
"xrx
","xrx
 Xerox information technology technology hardware, storage & peripherals SP500"
"xlnx
","xlnx
 Xilinx information technology semiconductors SP500"
"xyl
","xyl
 Xylem Inc. industrials industrial machinery SP500"
"yum
","yum
 Yum! Brands Inc consumer discretionary restaurants SP500"
"zbra
","zbra
 Zebra Technologies information technology electronic equipment & instruments SP500"
"zbh
","zbh
 Zimmer Biomet Holdings health care health care equipment SP500"
"zion
","zion
 Zions Bancorp financials regional banks SP500"
"zts
","zts
 Zoetis health care pharmaceuticals SP500"
